business_id	user_id	cool	funny	useful	stars	sentiment	negative	neutral	positive	compound
ujmEBvifdJM6h6RLv4wQIg	hG7b0MtEbXx5QzbzE6C_VA	0	1	6	1.0	{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.7661}	0.159	0.841	0.0	-0.7661
NZnhc2sEQy3RmzKTZnqtwQ	yXQM5uF2jS6es16SJzNHfg	0	0	0	5.0	{'neg': 0.026, 'neu': 0.729, 'pos': 0.244, 'compound': 0.9971}	0.026	0.729	0.244	0.9971
WTqjgwHlXbSFevF32_DJVw	n6-Gk65cPZL6Uz8qRm3NYw	0	0	3	5.0	{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.981}	0.0	0.759	0.241	0.981
ikCg8xy5JIg_NGPx-MSIDA	dacAIZ6fTM6mqwW5uxkskg	0	0	0	5.0	{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.9896}	0.0	0.595	0.405	0.9896
b1b1eb3uo-w561D0ZfCEiQ	ssoyf2_x0EQMed6fgHeMyQ	0	0	7	1.0	{'neg': 0.106, 'neu': 0.825, 'pos': 0.069, 'compound': -0.9907}	0.106	0.825	0.069	-0.9907
eU_713ec6fTGNO4BegRaww	w31MKYsNFMrjhWxxAb5wIw	0	0	0	4.0	{'neg': 0.097, 'neu': 0.8, 'pos': 0.103, 'compound': 0.446}	0.097	0.8	0.103	0.446
3fw2X5bZYeW9xCz_zGhOHg	jlu4CztcSxrKx56ba1a5AQ	5	4	5	3.0	{'neg': 0.018, 'neu': 0.831, 'pos': 0.151, 'compound': 0.984}	0.018	0.831	0.151	0.984
zvO-PJCpNk4fgAVUnExYAA	d6xvYpyzcfbF_AZ8vMB7QA	1	1	3	1.0	{'neg': 0.094, 'neu': 0.871, 'pos': 0.035, 'compound': -0.5523}	0.094	0.871	0.035	-0.5523
b2jN2mm9Wf3RcrZCgfo1cg	sG_h0dIzTKWa3Q6fmb4u-g	0	0	1	2.0	{'neg': 0.057, 'neu': 0.792, 'pos': 0.151, 'compound': 0.9751}	0.057	0.792	0.151	0.9751
oxwGyA17NL6c5t1Etg5WgQ	nMeCE5-xsdleyxYuNZ_7rA	1	0	1	3.0	{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.6767}	0.0	0.778	0.222	0.6767
8mIrX_LrOnAqWsB5JrOojQ	FIk4lQQu1eTe2EpzQ4xhBA	0	0	0	4.0	{'neg': 0.02, 'neu': 0.78, 'pos': 0.2, 'compound': 0.9725}	0.02	0.78	0.2	0.9725
mRUVMJkUGxrByzMQ2MuOpA	-mA3-1mN4JIEkqOtdbNXCQ	0	1	0	1.0	{'neg': 0.028, 'neu': 0.886, 'pos': 0.086, 'compound': 0.7237}	0.028	0.886	0.086	0.7237
FxLfqxdYPA6Z85PFKaqLrg	GYNnVehQeXjty0xH7-6Fhw	0	0	0	4.0	{'neg': 0.056, 'neu': 0.592, 'pos': 0.352, 'compound': 0.9984}	0.056	0.592	0.352	0.9984
LUN6swQYa4xJKaM_UEUOEw	bAhqAPoWaZYcyYi7bs024Q	0	0	0	4.0	{'neg': 0.011, 'neu': 0.572, 'pos': 0.417, 'compound': 0.9927}	0.011	0.572	0.417	0.9927
